buildYear,salesPeriodTotal,numberOfRooms,paymentCash,residentialArea,areaWeighted,postal,dateRemoved,city,lat,lon,price_area,price_area_log,sale_year,geometry
1972,,2,645000.0,49.0,49.0,2620,19-01-2012,Albertslund,55.67242298088106,12.343027229108836,13163.265306122448,9.485185297667282,2012,POINT (710214.0005973534 6174689.003205985)
1972,,2,575000.0,49.0,49.0,2620,19-07-2012,Albertslund,55.67242298088106,12.343027229108836,11734.69387755102,9.37030502166886,2012,POINT (710214.0005973534 6174689.003205985)
1968,,4,1695000.0,108.0,131.0,2620,12-03-2012,Albertslund,55.67252767275773,12.356638901925654,12938.931297709923,9.467995975595537,2012,POINT (711069.0006191777 6174742.003206357)
1968,,4,1995000.0,108.0,131.0,2620,04-07-2012,Albertslund,55.67308863808822,12.3591371079737,15229.007633587786,9.63095728510495,2012,POINT (711223.0006232462 6174812.00320632)
1968,,4,1795000.0,108.0,131.0,2620,16-08-2012,Albertslund,55.67308863808822,12.3591371079737,13702.290076335878,9.525318256703365,2012,POINT (711223.0006232462 6174812.00320632)
1972,,4,2295000.0,112.0,136.0,2620,01-11-2012,Albertslund,55.67508793562216,12.352116965297046,16875.0,9.733588515740731,2012,POINT (710771.0006118787 6175013.003205739)
1971,,4,1295000.0,102.0,102.0,2620,18-02-2012,Albertslund,55.670963261495025,12.34083447084232,12696.078431372549,9.449048439831504,2012,POINT (710084.0005938823 6174520.003206199)
2014,,4,2545000.0,138.0,138.0,2620,13-06-2012,Albertslund,55.671203023752724,12.35576173542576,18442.028985507248,9.822387522809555,2012,POINT (711021.0006177484 6174592.003206581)
2014,,5,2099500.0,138.0,138.0,2620,02-07-2013,Albertslund,55.671203023752724,12.35576173542576,15213.768115942028,9.62995609394918,2013,POINT (711021.0006177484 6174592.003206581)
2014,755.0,4,2595000.0,138.0,138.0,2620,16-04-2013,Albertslund,55.671203023752724,12.35576173542576,18804.347826086956,9.841843389424922,2013,POINT (711021.0006177484 6174592.003206581)
2008,,2,1250000.0,62.0,62.0,2620,11-08-2012,Albertslund,55.670294142043545,12.356447484148626,20161.290322580644,9.911519724233392,2012,POINT (711069.0006188565 6174493.003206774)
1937,,3,2125000.0,72.0,101.0,2620,18-04-2012,Albertslund,55.66401309176903,12.356641016745154,21039.603960396038,9.954161843499394,2012,POINT (711115.0006191403 6173795.003207969)
1937,,3,2125000.0,72.0,101.0,2620,18-04-2012,Albertslund,55.66401309176903,12.356641016745154,21039.603960396038,9.954161843499394,2012,POINT (711115.0006191403 6173795.003207969)
1968,,5,1600000.0,106.0,128.0,2620,25-02-2013,Albertslund,55.672783008851454,12.36044731615339,12500.0,9.433483923290392,2013,POINT (711307.0006253845 6174782.003206421)
1972,,4,1135000.0,106.0,106.0,2620,27-11-2012,Albertslund,55.67242298088106,12.343027229108836,10707.547169811322,9.278704114785572,2012,POINT (710214.0005973534 6174689.003205985)
